,Device,Batch size,Optimizer,LR,Hidden Dim,Training Time,Train Acc,Val Acc,Test Acc
0,cpu,64,adam,0.001,4,20.82248091697693,81.11666666666666,80.5,81.34
1,cpu,64,adam,0.001,32,21.138930320739746,95.725,94.58333333333333,94.83
2,cpu,64,adam,0.001,64,22.073091745376587,97.20833333333333,95.56666666666666,96.09
3,cpu,64,adam,0.001,128,22.68277382850647,98.1,96.59166666666667,96.87
4,cpu,64,sgd,0.01,4,19.016015768051147,69.94166666666666,70.08333333333333,70.49
5,cpu,64,sgd,0.01,32,19.240643978118896,89.88333333333334,89.66666666666667,90.33
6,cpu,64,sgd,0.01,64,19.526298999786377,90.02916666666667,89.86666666666666,90.57
7,cpu,64,sgd,0.01,128,20.448699712753296,90.0375,89.85,90.69
8,cpu,128,adam,0.001,4,18.587870121002197,74.94166666666666,73.93333333333334,75.06
9,cpu,128,adam,0.001,32,18.8074209690094,95.02916666666667,94.34166666666667,94.47
10,cpu,128,adam,0.001,64,19.121339797973633,96.4125,95.41666666666667,95.75
11,cpu,128,adam,0.001,128,20.28162407875061,97.40416666666667,96.43333333333334,96.45
12,cpu,128,sgd,0.01,4,17.898255109786987,63.18125,63.475,64.9
13,cpu,128,sgd,0.01,32,17.97628903388977,87.2875,87.29166666666667,88.1
14,cpu,128,sgd,0.01,64,18.428339958190918,87.92291666666667,87.775,88.92
15,cpu,128,sgd,0.01,128,18.753883123397827,87.92708333333333,87.9,88.73
16,cpu,1024,adam,0.001,4,17.380154848098755,52.65,52.416666666666664,53.09
17,cpu,1024,adam,0.001,32,17.465012073516846,90.93958333333333,90.625,91.21
18,cpu,1024,adam,0.001,64,17.708343744277954,92.27083333333333,91.86666666666666,92.49
19,cpu,1024,adam,0.001,128,18.143819093704224,93.29791666666667,92.76666666666667,93.21
20,cpu,1024,sgd,0.01,4,17.723569869995117,20.575,22.0,23.66
21,cpu,1024,sgd,0.01,32,17.807459115982056,62.58958333333333,63.075,65.17
22,cpu,1024,sgd,0.01,64,18.086972951889038,67.32708333333333,66.50833333333334,68.73
23,cpu,1024,sgd,0.01,128,18.75179123878479,70.67916666666666,70.29166666666667,71.88
