,Device,Batch size,Optimizer,LR,Hidden Dim,Training Time,Train Acc,Val Acc,Test Acc
0,cpu,64,adam,0.001,16,29.785605907440186,93.33333333333333,92.89166666666667,93.11
1,cpu,64,adam,0.001,32,30.65951418876648,95.59583333333333,94.975,95.12
2,cpu,64,adam,0.001,64,30.598462104797363,97.10208333333334,95.88333333333334,96.18
3,mps,64,adam,0.001,16,70.20412874221802,93.47916666666667,93.10833333333333,93.37
4,mps,64,adam,0.001,32,64.60245871543884,95.71458333333334,94.96666666666667,95.1
5,mps,64,adam,0.001,64,68.29115414619446,97.02083333333333,95.975,96.22
6,cpu,64,sgd,0.01,16,28.56167697906494,88.98125,89.03333333333333,89.35
7,cpu,64,sgd,0.01,32,28.658032178878784,90.04375,90.06666666666666,90.38
8,cpu,64,sgd,0.01,64,29.286179065704346,90.01875,90.11666666666666,90.72
9,mps,64,sgd,0.01,16,54.447420835494995,89.04166666666667,89.4,89.41
10,mps,64,sgd,0.01,32,54.18169593811035,89.82916666666667,90.05,90.57
11,mps,64,sgd,0.01,64,53.712011098861694,90.08541666666666,90.14166666666667,90.84
12,cpu,128,adam,0.001,16,27.09119486808777,92.86666666666666,92.39166666666667,92.28
13,cpu,128,adam,0.001,32,27.34237790107727,94.65833333333333,93.95,94.0
14,cpu,128,adam,0.001,64,28.855186939239502,96.47916666666667,95.64166666666667,95.99
15,mps,128,adam,0.001,16,45.28487801551819,92.74583333333334,92.44166666666666,92.43
16,mps,128,adam,0.001,32,45.76998972892761,94.88125,94.44166666666666,94.65
17,mps,128,adam,0.001,64,45.41103911399841,96.33541666666666,95.73333333333333,95.64
18,cpu,128,sgd,0.01,16,26.004951238632202,83.83958333333334,83.76666666666667,84.78
19,cpu,128,sgd,0.01,32,26.085991859436035,87.04375,87.43333333333334,88.13
20,cpu,128,sgd,0.01,64,27.50149703025818,87.92708333333333,88.31666666666666,88.81
21,mps,128,sgd,0.01,16,40.28130888938904,85.85625,86.325,87.06
22,mps,128,sgd,0.01,32,40.95052623748779,87.06458333333333,87.425,87.89
23,mps,128,sgd,0.01,64,41.05940794944763,87.60833333333333,88.00833333333334,88.34
24,cpu,1024,adam,0.001,16,25.75090193748474,88.90833333333333,89.13333333333334,89.5
25,cpu,1024,adam,0.001,32,25.995569944381714,90.67291666666667,90.5,91.03
26,cpu,1024,adam,0.001,64,25.665560960769653,92.19166666666666,92.125,92.48
27,mps,1024,adam,0.001,16,28.267908811569214,88.55625,88.5,89.16
28,mps,1024,adam,0.001,32,27.744359016418457,90.99583333333334,90.9,91.3
29,mps,1024,adam,0.001,64,28.016613006591797,92.34375,92.25,92.57
30,cpu,1024,sgd,0.01,16,25.572664260864258,58.08958333333333,58.80833333333333,60.01
31,cpu,1024,sgd,0.01,32,25.616307973861694,62.66875,63.291666666666664,64.48
32,cpu,1024,sgd,0.01,64,25.645607233047485,68.40625,70.15833333333333,70.63
33,mps,1024,sgd,0.01,16,26.766538858413696,63.36875,64.5,64.06
34,mps,1024,sgd,0.01,32,26.71338200569153,63.69583333333333,64.85,65.97
35,mps,1024,sgd,0.01,64,26.389231204986572,67.9875,68.68333333333334,69.5
