,N,Batch size,Weight,Train Time ,Train Acc, Val Acc,Test Acc,F1-Val,F1-Test
0,100,64,1.0,0.40415287017822266,100.0,99.74979149291076,99.81087470449172,0.9032258064516129,0.998234774933804
1,100,64,10.0,0.3768298625946045,100.0,99.91659716430358,99.66903073286052,0.9655172413793104,0.9969067609368095
2,100,64,50.0,0.3183770179748535,99.9791275307869,99.83319432860718,99.66903073286052,0.9333333333333333,0.9969067609368095
3,100,64,89.39622497558594,0.316784143447876,99.9791275307869,99.74979149291076,99.8581560283688,0.9032258064516129,0.9986766651962947
4,250,64,1.0,0.3583848476409912,100.0,100.0,95.88652482269504,1.0,0.9601465872652314
5,250,64,25.0,0.38403916358947754,99.95796553173602,99.91603694374476,99.47990543735224,0.923076923076923,0.9951305887560867
6,250,64,125.0,0.4653499126434326,100.0,100.0,99.33806146572104,1.0,0.9937943262411347
7,250,64,236.89999389648438,0.3332538604736328,100.0,100.0,99.33806146572104,1.0,0.9937943262411347
8,500,64,1.0,0.35115885734558105,100.0,99.83164983164983,79.90543735224587,0.5,0.7696476964769647
9,500,64,50.0,0.33009791374206543,100.0,99.83164983164983,89.97635933806147,0.5,0.8969873663751214
10,500,64,250.0,0.3374440670013428,99.97893850042124,100.0,95.41371158392435,1.0,0.9553612517257248
11,500,64,473.79998779296875,0.33228492736816406,99.7893850042123,99.74747474747475,46.335697399527184,0.0,0.0
12,750,64,1.0,0.4596140384674072,99.87352445193929,99.83150800336983,46.335697399527184,0.0,0.0
13,750,64,75.0,0.3443901538848877,100.0,100.0,96.07565011820331,1.0,0.9620484682213077
14,750,64,375.0,0.3414649963378906,99.64165261382799,100.0,99.76359338061465,1.0,0.9977944419938243
15,750,64,789.6666870117188,0.32299304008483887,99.91568296795953,100.0,99.81087470449172,1.0,0.998234774933804
16,1000,64,1.0,0.365494966506958,99.91564740615775,99.83150800336983,46.335697399527184,0.0,0.0
17,1000,64,100.0,0.32546567916870117,99.97891185153944,100.0,94.51536643026004,1.0,0.9461467038068709
18,1000,64,500.0,0.31510496139526367,99.97891185153944,100.0,81.84397163120568,1.0,0.7963944856839872
19,1000,64,1184.5,0.31855320930480957,100.0,99.91575400168492,80.0,0.6666666666666666,0.770979967514889
20,1250,64,1.0,0.5351228713989258,99.91564740615775,99.91568296795953,46.335697399527184,0.0,0.0
21,1250,64,125.0,0.38937902450561523,99.97891185153944,100.0,95.79196217494089,1.0,0.9591930307198533
22,1250,64,625.0,0.4170050621032715,99.97891185153944,100.0,96.50118203309692,1.0,0.9663023679417122
23,1250,64,1184.5,0.3499736785888672,99.74694221847322,100.0,99.10165484633569,1.0,0.9915593069746779
24,1500,64,1.0,0.3662073612213135,99.93672221050412,99.91568296795953,46.335697399527184,0.0,0.0
25,1500,64,150.0,0.38455700874328613,99.93672221050412,99.91568296795953,46.335697399527184,0.0,0.0
26,1500,64,750.0,0.48340511322021484,100.0,100.0,97.54137115839244,1.0,0.976555455365194
27,1500,64,1579.3333740234375,0.37872791290283203,100.0,100.0,97.02127659574468,1.0,0.9714544630720435
28,1750,64,1.0,0.3476450443267822,99.957805907173,99.91568296795953,46.335697399527184,0.0,0.0
29,1750,64,175.0,0.3895852565765381,100.0,100.0,92.00945626477541,1.0,0.9195621132793907
30,1750,64,875.0,0.32144713401794434,100.0,100.0,91.25295508274232,1.0,0.9112709832134293
31,1750,64,2369.0,0.3463149070739746,100.0,100.0,93.90070921985816,1.0,0.9397477814105558
32,2000,64,1.0,0.4306521415710449,99.957805907173,99.91568296795953,46.335697399527184,0.0,0.0
33,2000,64,200.0,0.3857569694519043,100.0,99.91568296795953,55.177304964539005,0.0,0.28290468986384265
34,2000,64,1000.0,0.35553789138793945,100.0,99.91568296795953,51.63120567375886,0.0,0.17963111467522053
35,2000,64,2369.0,0.40897107124328613,100.0,99.91568296795953,63.64066193853428,0.0,0.4876748834110593
