,N,Batch size,Weight,Train Time ,Train Acc, Val Acc,Test Acc,F1-Val,F1-Test
0,100,64,1.0,0.4522368907928467,100.0,100.0,99.89909182643794,1.0,0.9565217391304348
1,100,64,10.0,0.4050109386444092,99.9791275307869,100.0,100.0,1.0,1.0
2,100,64,50.0,0.43805813789367676,99.87476518472135,100.0,99.69727547931383,1.0,0.88
3,100,64,89.39622497558594,0.4104750156402588,98.89375913170528,98.83236030025022,98.89001009081736,0.0,0.0
4,250,64,1.0,0.37462806701660156,100.0,100.0,100.0,1.0,1.0
5,250,64,25.0,0.3707401752471924,100.0,100.0,100.0,1.0,1.0
6,250,64,125.0,0.36173105239868164,99.97898276586801,100.0,100.0,1.0,1.0
7,250,64,236.89999389648438,0.3626840114593506,100.0,100.0,100.0,1.0,1.0
8,500,64,1.0,0.38526487350463867,100.0,99.91582491582491,100.0,0.8,1.0
9,500,64,50.0,0.36554694175720215,99.9368155012637,100.0,99.79633401221996,1.0,0.6666666666666666
10,500,64,250.0,0.3642392158508301,99.7893850042123,99.74747474747475,99.79633401221996,0.0,0.0
11,500,64,473.79998779296875,0.3654317855834961,100.0,100.0,100.0,1.0,1.0
12,750,64,1.0,0.40639472007751465,99.87352445193929,99.83150800336983,99.8980632008155,0.0,0.0
13,750,64,75.0,0.36640214920043945,99.85244519392917,99.91575400168492,100.0,0.8,1.0
14,750,64,375.0,0.36887693405151367,100.0,100.0,100.0,1.0,1.0
15,750,64,789.6666870117188,0.4256260395050049,100.0,100.0,100.0,1.0,1.0
16,1000,64,1.0,0.3634040355682373,99.91564740615775,99.83150800336983,99.8980632008155,0.0,0.0
17,1000,64,100.0,0.3606138229370117,99.97891185153944,100.0,99.8980632008155,1.0,0.0
18,1000,64,500.0,0.3612060546875,99.91564740615775,99.83150800336983,99.8980632008155,0.0,0.0
19,1000,64,1184.5,0.366138219833374,99.97891185153944,99.83150800336983,100.0,0.6666666666666666,1.0
20,1250,64,1.0,0.4016420841217041,100.0,100.0,100.0,1.0,1e-06
21,1250,64,125.0,0.425189733505249,100.0,100.0,100.0,1.0,1e-06
22,1250,64,625.0,0.3791379928588867,99.91564740615775,99.91568296795953,100.0,0.0,1e-06
23,1250,64,1184.5,0.39028286933898926,99.66258962463095,100.0,99.79591836734694,1.0,0.0
24,1500,64,1.0,0.38689589500427246,100.0,100.0,100.0,1.0,1e-06
25,1500,64,150.0,0.37068796157836914,100.0,100.0,100.0,1.0,1e-06
26,1500,64,750.0,0.36185693740844727,100.0,100.0,100.0,1.0,1e-06
27,1500,64,1579.3333740234375,0.37891101837158203,100.0,100.0,100.0,1.0,1e-06
28,1750,64,1.0,0.3805849552154541,100.0,100.0,100.0,1.0,1e-06
29,1750,64,175.0,0.35587382316589355,99.87341772151899,99.91568296795953,100.0,0.6666666666666666,1e-06
30,1750,64,875.0,0.35420894622802734,100.0,100.0,100.0,1.0,1e-06
31,1750,64,2369.0,0.36022496223449707,100.0,100.0,100.0,1.0,1e-06
32,2000,64,1.0,0.3882181644439697,99.957805907173,99.91568296795953,100.0,0.0,1e-06
33,2000,64,200.0,0.4139261245727539,100.0,100.0,100.0,1.0,1e-06
34,2000,64,1000.0,0.4072880744934082,100.0,99.91568296795953,100.0,0.6666666666666666,1e-06
35,2000,64,2369.0,0.41338014602661133,100.0,100.0,100.0,1.0,1e-06
