,N,Batch size,Weight,Train Time ,Train Acc, Val Acc,Test Acc,F1-Val,F1-Test
0,100,64,1.0,0.5408639907836914,100.0,100.0,100.0,1.0,1.0
1,100,64,10.0,0.3907148838043213,100.0,100.0,100.0,1.0,1.0
2,100,64,50.0,0.3563220500946045,100.0,99.91659716430358,99.79818365287588,0.9655172413793104,0.9166666666666666
3,100,64,89.39622497558594,0.34099721908569336,99.9791275307869,99.91659716430358,99.89909182643794,0.9655172413793104,0.9565217391304348
4,250,64,1.0,0.3370230197906494,99.57965531736023,99.49622166246851,99.59349593495935,0.0,0.0
5,250,64,25.0,0.329056978225708,100.0,100.0,100.0,1.0,1.0
6,250,64,125.0,0.32395386695861816,99.57965531736023,99.49622166246851,99.59349593495935,0.0,0.0
7,250,64,236.89999389648438,0.3370509147644043,100.0,100.0,100.0,1.0,1.0
8,500,64,1.0,0.3323519229888916,99.97893850042124,100.0,100.0,1.0,1.0
9,500,64,50.0,0.324479341506958,100.0,100.0,100.0,1.0,1.0
10,500,64,250.0,0.3316538333892822,100.0,100.0,100.0,1.0,1.0
11,500,64,473.79998779296875,0.3364391326904297,100.0,99.91582491582491,100.0,0.8571428571428571,1.0
12,750,64,1.0,0.3978538513183594,100.0,99.91575400168492,100.0,0.6666666666666666,1.0
13,750,64,75.0,0.3824012279510498,100.0,100.0,100.0,1.0,1.0
14,750,64,375.0,0.37165093421936035,99.95784148397976,100.0,100.0,1.0,1.0
15,750,64,789.6666870117188,0.35500383377075195,99.97892074198988,100.0,100.0,1.0,1.0
16,1000,64,1.0,0.32845211029052734,99.97891185153944,99.91575400168492,100.0,0.6666666666666666,1.0
17,1000,64,100.0,0.32286691665649414,100.0,100.0,100.0,1.0,1.0
18,1000,64,500.0,0.3284440040588379,99.97891185153944,100.0,100.0,1.0,1.0
19,1000,64,1184.5,0.3234381675720215,99.97891185153944,100.0,100.0,1.0,1.0
20,1250,64,1.0,0.39420104026794434,99.97891185153944,100.0,100.0,1.0,1e-06
21,1250,64,125.0,0.3770632743835449,99.93673555461831,100.0,100.0,1.0,1e-06
22,1250,64,625.0,0.333881139755249,99.97891185153944,100.0,100.0,1.0,1e-06
23,1250,64,1184.5,0.3279719352722168,100.0,99.91568296795953,100.0,0.0,1e-06
24,1500,64,1.0,0.38579702377319336,99.93672221050412,99.91568296795953,100.0,0.0,1e-06
25,1500,64,150.0,0.3522350788116455,99.97890740350137,100.0,100.0,1.0,1e-06
26,1500,64,750.0,0.3516578674316406,99.57814807002742,100.0,100.0,1.0,1e-06
27,1500,64,1579.3333740234375,0.3235020637512207,99.97890740350137,100.0,100.0,1.0,1e-06
28,1750,64,1.0,0.34116101264953613,99.957805907173,99.91568296795953,100.0,0.0,1e-06
29,1750,64,175.0,0.3434181213378906,100.0,99.91568296795953,100.0,0.0,1e-06
30,1750,64,875.0,0.33769917488098145,100.0,99.91568296795953,100.0,0.0,1e-06
31,1750,64,2369.0,0.3312089443206787,98.39662447257383,100.0,100.0,1.0,1e-06
32,2000,64,1.0,0.4083821773529053,99.957805907173,99.91568296795953,100.0,0.0,1e-06
33,2000,64,200.0,0.3667888641357422,99.957805907173,99.91568296795953,100.0,0.0,1e-06
34,2000,64,1000.0,0.36602210998535156,100.0,99.91568296795953,100.0,0.0,1e-06
35,2000,64,2369.0,0.34713077545166016,100.0,99.91568296795953,100.0,0.0,1e-06
