,Device,Batch size,Optimizer,LR,Hidden Dim,Training Time,Train Acc,Val Acc,Test Acc
0,cpu,64,adam,0.001,16,29.184563159942627,88.03333333333333,87.925,88.14
1,cpu,64,adam,0.001,32,30.543816089630127,95.29583333333333,94.175,94.25
2,cpu,64,adam,0.001,64,31.19202208518982,96.96458333333334,96.225,96.5
3,cpu,64,adam,0.001,128,32.99071264266968,97.86458333333333,96.95,96.95
4,cpu,64,sgd,0.01,16,27.672548055648804,92.31875,92.2,92.65
5,cpu,64,sgd,0.01,32,28.152845859527588,92.80208333333333,92.65,92.93
6,cpu,64,sgd,0.01,64,28.80337882041931,93.4625,93.3,93.56
7,cpu,64,sgd,0.01,128,29.64063310623169,93.91458333333334,93.63333333333334,93.97
8,cpu,128,adam,0.001,16,26.838134050369263,93.07291666666667,92.55,92.78
9,cpu,128,adam,0.001,32,27.21410608291626,95.55833333333334,95.125,95.59
10,cpu,128,adam,0.001,64,28.684025287628174,96.66875,96.06666666666666,96.28
11,cpu,128,adam,0.001,128,29.71784520149231,97.76458333333333,96.55833333333334,96.38
12,cpu,128,sgd,0.01,16,26.283130168914795,91.30833333333334,91.0,91.4
13,cpu,128,sgd,0.01,32,26.356427907943726,91.24791666666667,91.2,91.74
14,cpu,128,sgd,0.01,64,27.09726619720459,91.7,91.75,92.25
15,cpu,128,sgd,0.01,128,27.72050929069519,91.6625,91.63333333333334,92.03
16,cpu,1024,adam,0.001,16,25.402145862579346,90.80833333333334,90.7,91.16
17,cpu,1024,adam,0.001,32,25.0838680267334,91.53125,91.625,91.89
18,cpu,1024,adam,0.001,64,25.195961713790894,92.72708333333334,92.64166666666667,92.77
19,cpu,1024,adam,0.001,128,25.59655475616455,94.75208333333333,94.5,94.54
20,cpu,1024,sgd,0.01,16,25.069660186767578,84.33125,84.7,85.12
21,cpu,1024,sgd,0.01,32,24.970707178115845,84.04166666666667,84.775,85.38
22,cpu,1024,sgd,0.01,64,25.030744075775146,86.14375,86.625,87.25
23,cpu,1024,sgd,0.01,128,25.4376060962677,86.57291666666667,86.81666666666666,87.31
